,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Sony,PlayStation 4 #,"November 29, 2013","2,500,000[119]",October 2018,4
1,Sony,PlayStation 2,"November 30, 2000","2,200,000[120]",January 2007,4
2,Nintendo,Wii,"December 7, 2006","2,100,000[121]","April 4, 2011",4
3,Sony,PlayStation,"November 15, 1995","1,000,000[122]",April 1999,4
4,Microsoft,Xbox 360,"March 2, 2006","700,000[123]",June 2009,4
5,Nintendo,SNES,"July 3, 1992 [124]","700,000[125]",February 1997,4
6,Sega,Master System,1987,"650,000[126]",November 1994,4
7,Nintendo,Nintendo 64,"March 1, 1997","500,000[127]",January 1999,4
8,Sega,Mega Drive,1990,"300,000[128]",November 1994,4
9,Sony,PlayStation 3,"March 3, 2007","285,000[121]",June 2008,4
10,Nintendo,GameCube,"September 14, 2001","167,899[129]",Late 2007,4
11,Nintendo,Game Boy Color,"November 27, 1998","80,000[130]",May 1999,4
