,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Sony,PlayStation 2,"November 24, 2000","48,000,000[55]",May 2008,4
1,Sony,PlayStation,"September 29, 1995","40,120,000[2]",March 2007,4
2,Nintendo,Switch #,"March 3, 2017","39,910,000[a][6]","December 31, 2025",4
3,Nintendo,DS,"March 11, 2005","38,100,000[56]",March 2009,4
4,Sony,PlayStation 3,"March 23, 2007","25,980,000[57]",June 2015,4
5,Microsoft,Xbox 360,"December 2, 2005","20,860,000[57]",June 2015,4
6,Sega,Mega Drive,September 1990,"8,320,000+[b]",October 1996,4
7,Nintendo,NES,September 1986,"8,025,000+[c]",December 1994,4
8,Sega,Master System,June 1987,"6,800,000+[d]",December 1994,4
9,Micro Genius,Dendy,1992,"6,000,000[58]",1998,4
10,Microsoft,Xbox,"March 14, 2002","5,500,000[5]",June 2005,4
11,Nintendo,SNES,1992,"5,280,000+[e]",1998,4
12,Nintendo,Nintendo 64,"March 1, 1997","4,500,000[59]",January 1999,4
13,Nintendo,Switch 2 #,"June 5, 2025","4,100,000[6]","December 31, 2025",4
14,Sega,Dreamcast,"October 14, 1999","1,630,000[22]",March 2001,4
15,Sega,Saturn,"July 8, 1995","1,000,000[22]",March 1999,4
