,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Nintendo,DS,"March 11, 2005","8,100,000[71]",August 2012,4
1,Sony,PlayStation 4 #,"November 29, 2013","7,200,000[72]",September 2019,4
2,Nintendo,Game Boy,September 1990,"6,800,000[73]",February 2000,4
3,Sony,PlayStation 2,"November 24, 2000","6,000,000[74]",August 2009,4
4,Nintendo,Wii,"December 8, 2006","5,200,000[71]",August 2012,4
5,Sony,PlayStation 3,"March 23, 2007","4,540,000[57]",June 2015,4
6,Sony,PlayStation,September 1995,"4,000,000[73]",October 2000,4
7,Microsoft,Xbox 360,"December 2, 2005","2,840,000[57]",June 2015,4
8,Nintendo,3DS,"March 25, 2011","2,000,000[75]",August 2014,4
9,Nintendo,Nintendo 64,March 1997,"1,500,000[73]",February 2000,4
10,Nintendo,Game Boy Color,November 1998,"1,500,000[73]",February 2000,4
11,Commodore,Amiga,?,"1,400,000[69]",1994,4
12,Nintendo,SNES,"June 6, 1992","1,400,000[17]",1994,4
13,Nintendo,NES,1986,"1,200,000[17]",1994,4
14,Sega,Mega Drive,"November 30, 1990","800,000[17]",1994,4
15,Microsoft,Xbox One,"November 22, 2013","710,000[76]",June 2016,4
16,Sega,Master System,September 1987,"700,000[17]",1993,4
17,Nintendo,Wii U,"November 30, 2012","750,000[72] (estimated)",June 2016,4
18,Nintendo,Switch #,"March 3, 2017",600000,2017,4
19,Atari,2600,1978,"450,000[77]",1983,4
20,Sega,Saturn,July 1995,"200,000[73]",1999,4
21,Sega,Dreamcast,October 1999,"180,000[78]",February 2001,4
22,Sega,Mega CD,1993,"140,000[17]",1994,4
23,Mattel,Intellivision,1982,"100,000[77]",1983,4
