,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Nintendo,Nintendo Switch #,"March 3, 2017","38,140,000[6]","December 31, 2025",4
1,Nintendo,Nintendo DS,"December 2, 2004","32,990,000[7]",March 2013,4
2,Nintendo,Game Boy and Game Boy Color,"April 21, 1989","32,470,000[7]",March 2003,4
3,Nintendo,Nintendo 3DS #,"February 26, 2011","25,260,000[8]",March 2020,4
4,Sony,PlayStation 2,"March 4, 2000","24,420,000[9]",2008,4
5,Sony,PlayStation Portable,"December 12, 2004",19632197,"December 14, 2014",4
6,Sony,PlayStation,"December 3, 1994","19,411,000[9]",2005,4
7,Nintendo,Family Computer,"July 15, 1983","19,350,000[7]",March 2004,4
8,Nintendo,Super Famicom,"November 21, 1990","17,170,000[7]",March 2004,4
9,Nintendo,Game Boy Advance,"March 21, 2001","16,960,000[7]",March 2009,4
10,Nintendo,Wii,"December 2, 2006","12,750,000[7]",March 2014,4
11,Sony,PlayStation 3,"November 11, 2006","10,469,971[10][unreliable source]",2017,4
12,Sony,PlayStation 4 #,"February 22, 2014",9503963,"August 18, 2024",4
13,NEC,PC Engine,"October 30, 1987","8,000,000[11]",?,4
14,Sony,PlayStation 5 #,"November 12, 2020",6804660,"April 24, 2025",4
15,Sony,PlayStation Vita #,"December 17, 2011",5863022,"December 29, 2019",4
16,Sega,Saturn,"November 22, 1994","5,800,000[12]",2000,4
17,Nintendo,Nintendo 64,"June 23, 1996","5,540,000[7]",March 2008,4
18,Nintendo,Nintendo Switch 2 #,"June 5, 2025","4,780,000[6]","December 31, 2025",4
19,Nintendo,Family Computer Disk System,"February 21, 1986","4,500,000[13]",?,4
20,Nintendo,GameCube,"September 14, 2001","4,040,000[7]",September 2008,4
21,Sega,Mega Drive,"October 29, 1988","3,590,000[12]",1997,4
22,Nintendo,Wii U #,"December 8, 2012","3,340,000[7]",March 2017,4
23,Nintendo,Color TV-Game,"June 1, 1977","3,000,000[14]",1993,4
24,Sega,Dreamcast,"November 27, 1998","2,526,000[9]",2002,4
25,Sega,Game Gear,"October 6, 1990","1,980,000[9]",1996,4
26,NEC,PC Engine Duo + CD·ROM2,"September 21, 1991","1,920,000[15]",March 1996,4
27,Bandai,WonderSwan,"March 4, 1999",1803092,"April 1, 2004",4
28,Microsoft,Xbox 360,"December 10, 2005",1614940,"August 31, 2014",4
29,Sega,Sega Mark III (Master System),"October 20, 1985","1,000,000[16]",1986,4
30,Sega,Mega CD,"December 12, 1991","850,000[17]",1994,4
31,Panasonic,3DO Interactive Multiplayer,"March 20, 1994","750,000[9]",1996,4
32,Microsoft,Xbox Series X # Xbox Series S #,"November 10, 2020",676819,"May 5, 2025",4
33,Atari,Lynx,"September 1, 1989",500000,1991,4
34,Microsoft,Xbox,"February 22, 2002",472994,"April 12, 2005",4
35,Sega,SG-1000,"July 15, 1983","440,000[18][better source needed]",1988,4
36,SNK,Neo Geo Pocket,"October 28, 1998",311315,"July 29, 2001",4
37,Nintendo,Family Computer Network System,1988,300000,1989,4
38,Epoch,Super Cassette Vision,1984,"300,000[12]",1986,4
39,Epoch,Cassette Vision,1981,"300,000[19][better source needed]",1986,4
40,NEC,PC-FX,"December 23, 1994","300,000[9]",1997,4
41,Sega,32X,"December 3, 1994","270,000[20]",1994,4
42,Epoch,TV Baseball,1978,"230,000[19]",1986,4
43,Epoch,System 10,1977,"200,000[19]",,4
44,Microsoft,Xbox One,"September 4, 2014","140,700[21]",June 2019,4
45,Nintendo,Virtual Boy,"July 21, 1995","14,000[22][better source needed]",March 1996,4
46,Epoch,TV Tennis,1975,"10,000[19]",1986,4
47,Atari,Jaguar,"December 8, 1994",3000,1995,4
