,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Nintendo,Nintendo DS,"November 21, 2004","<59,930,000[7]",September 2013,4
1,Nintendo,Nintendo Switch #,"March 3, 2017","59,450,000[6]","December 31, 2025",4
2,Sony,PlayStation 2,"October 26, 2000","50,000,000[30]",March 2007,4
3,Nintendo,Wii,"November 19, 2006","<48,640,000[7]",March 2015,4
4,Nintendo,Game Boy and Game Boy Color,"July 31, 1989","<44,060,000[7]",March 2002,4
5,Nintendo,Game Boy Advance,"June 11, 2001","<41,640,000[7]",March 2008,4
6,Sony,PlayStation,"September 9, 1995","40,780,000[2]","December 31, 2004",4
7,Nintendo,NES,"October 18, 1985","<34,000,000[7]",March 1998,4
8,Atari,Atari 2600,1977,"<30,000,000[31]",2012,4
9,Nintendo,Nintendo 3DS,"March 27, 2011","26,730,000[8]",March 2020,4
10,Nintendo,Nintendo 64,"September 29, 1996","<20,630,000[7]",March 2003,4
11,Nintendo,SNES,"August 23, 1991","20,000,000+[32]",December 2013,4
12,Sega,Genesis (Mega Drive),"August 14, 1989","20,000,000+[33]",March 1998,4
13,Microsoft,Xbox,"November 15, 2001","14,600,000[5]",June 2005,4
14,Nintendo,GameCube,"November 18, 2001","<12,940,000[7]",March 2008,4
15,Nintendo,Wii U,"November 18, 2012",7200000,2020,4
16,Nintendo,Nintendo Switch 2 #,"June 5, 2025","5,980,000[6]","December 31, 2025",4
17,Sega,Dreamcast,"September 9, 1999","4,640,000[22]",March 2002,4
18,Sony,PlayStation 5 #,"November 12, 2020",3100000,November 2020,4
19,Sega,Master System,September 1986,"1,800,000[34]","March 31, 1991",4
20,Sega,Saturn,"May 11, 1995",1800000,March 1999,4
