,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Generation
Product Line,Name,Logo,Manufacturer,Console,Release dates,Launch prices,Launch prices,Launch prices,Launch prices,Launch prices,Discontinued,Media,Media,Media,Best-selling game,Accessories (retail),OS,CPU,Memory,Display,Resolutions,Audio,Interface,Dimensions,Weight,Online service,Storage,Battery life,Units sold (all models combined),6
Product Line,Name,Logo.1,Manufacturer,Console,Release dates,US$,€,GBP,A$,JP¥,Discontinued,Type,Regional lockout,Backward compatibility,Best-selling game,Accessories (retail),OS,CPU,Memory,Display,Resolutions,Audio,Interface,Dimensions,Weight,Online service,Storage,Battery life,Units sold (all models combined),6
WonderSwan,WonderSwan,Unnamed: 2_level_2,Bandai,,"JP: March 4, 1999",-,-,-,-,"¥4,800 (equivalent to ¥5,310 in 2024)",2003,WonderSwan cartridge,—N/a,—N/a,Final Fantasy,WonderSwan WS Headphone Adapter WonderWave WonderWitch WonderBorg,,"16-bit, NEC V30 MZ",512 kbit (64 KB) RAM,2.49-inch liquid-crystal display (LCD),224 x 144,4-bit PCM channels,Two D-pads Two face buttons,,,,,40 hours,Japan: 3.5 million (combined) WonderSwan: 1.55 million WonderSwan Color: 1.1 million,6
WonderSwan,WonderSwan Color,Unnamed: 3_level_2,Bandai,,"JP: December 9, 2000",-,-,-,-,"¥6,800 (equivalent to ¥7,520 in 2024)",2003,WonderSwan cartridge,—N/a,WonderSwan,Final Fantasy,WonderSwan WS Headphone Adapter WonderWave WonderWitch WonderBorg,,"16-bit, NEC V30 MZ",512 kbit (64 KB) RAM,2.8-inch LCD,224 x 144,4-bit PCM channels,Two D-pads Two face buttons,12.8 × 24.5 × 82mm (5.04 in × 2.93 in × 0.96 in),96 g (3.4 oz),,,15 hours,Japan: 3.5 million (combined) WonderSwan: 1.55 million WonderSwan Color: 1.1 million,6
WonderSwan,SwanCrystal,Unnamed: 4_level_2,Bandai,,"JP: July 12, 2002",-,-,-,-,"¥7,800 (equivalent to ¥8,630 in 2024)",2003,WonderSwan cartridge,—N/a,WonderSwan,Final Fantasy,WonderSwan WS Headphone Adapter WonderWave WonderWitch WonderBorg,,"16-bit, NEC V30 MZ",512 kbit (64 KB) RAM,2.8-inch LCD,224 x 144,4-bit PCM channels,Two D-pads Two face buttons,,,,,,Japan: 3.5 million (combined) WonderSwan: 1.55 million WonderSwan Color: 1.1 million,6
Game Boy Advance,Game Boy Advance,Unnamed: 5_level_2,Nintendo,,"JP: March 21, 2001NA: June 11, 2001PAL: June 22, 2001",US$99.99 (equivalent to $180 in 2025),DEM249.99 (Equivalent to €127.82 in 2001 or €200 in 2023),,,"¥9,800 (equivalent to ¥11,130 in 2024)",2007,Game Boy Advance Game Pak,Unrestricted,"Game Boy, Game Boy Color","Pokémon Ruby and Sapphire, 16.22 million combined (as of November 25, 2004)[47]",Wireless Adapter Infra-Red Adapter GameCube – Game Boy Advance link cable: Play-Yan e-Reader Video Cleaning Cartridge Mobile Adapter More...,,"16.8 MHz, 32-bit, ARM7TDMI with embedded memory","32 kilobyte + 96 kilobyte VRAM (internal to the CPU), 256 kilobyte WRAM (outside the CPU)",2.9-inch LCD,240 × 160,"Stereo audio, with: 8-bit DAC, capable of either streaming wave data or outputting wave samples processed and mixed in software Two square wave voices One programmable WS voice One white noise generator Optional sampling through the WS channel",D-pad Four face buttons Two shoulder buttons,144.5 × 24.5 × 82 mm (5.69 × 0.96 × 3.2 inches),140 g (4.9 oz),,,GBA: 15 hours GBA SP: GB Micro:,"Worldwide: 81.51 million (as of September 30, 2010) Japan: 16.96 million Americas: 41.64 million Other: 22.91 million",6
Game Boy Advance,Game Boy Advance SP,Unnamed: 6_level_2,Nintendo,,"JP: February 14, 2003NA: March 23, 2003PAL: March 28, 2003",US$99.99 (equivalent to $180 in 2025),€129.99 (equivalent to €200 in 2023),£89 (equivalent to £180 in 2023),AU$199.99 (equivalent to $320 in 2022),"¥12,500 (equivalent to ¥14,200 in 2024)",2007,Game Boy Advance Game Pak,Unrestricted,"Game Boy, Game Boy Color","Pokémon Ruby and Sapphire, 16.22 million combined (as of November 25, 2004)[47]",Wireless Adapter Infra-Red Adapter GameCube – Game Boy Advance link cable: Play-Yan e-Reader Video Cleaning Cartridge Mobile Adapter More...,,"16.8 MHz, 32-bit, ARM7TDMI with embedded memory","32 kilobyte + 96 kilobyte VRAM (internal to the CPU), 256 kilobyte WRAM (outside the CPU)",2.9-inch LCD,240 × 160,"Stereo audio, with: 8-bit DAC, capable of either streaming wave data or outputting wave samples processed and mixed in software Two square wave voices One programmable WS voice One white noise generator Optional sampling through the WS channel",D-pad Four face buttons Two shoulder buttons,84 × 82 × 24.4 mm (3.3 × 3.23 × 0.96 inches),142 g (5.0 oz),,,"10 hours continuous play with light on, 18 hours with light off","Worldwide: 81.51 million (as of September 30, 2010) Japan: 16.96 million Americas: 41.64 million Other: 22.91 million",6
Game Boy Advance,Game Boy Micro,Unnamed: 7_level_2,Nintendo,,"JP: September 13, 2005NA: September 19, 2005AU: November 3, 2005EU: November 4, 2005",US$99.99 (equivalent to $160 in 2025),,,,,2007,Game Boy Advance Game Pak,Unrestricted,none,"Pokémon Ruby and Sapphire, 16.22 million combined (as of November 25, 2004)[47]",Wireless Adapter Infra-Red Adapter GameCube – Game Boy Advance link cable: Play-Yan e-Reader Video Cleaning Cartridge Mobile Adapter More...,,"16.8 MHz, 32-bit, ARM7TDMI with embedded memory","32 kilobyte + 96 kilobyte VRAM (internal to the CPU), 256 kilobyte WRAM (outside the CPU)",2-inch LCD,240 × 160,"Stereo audio, with: 8-bit DAC, capable of either streaming wave data or outputting wave samples processed and mixed in software Two square wave voices One programmable WS voice One white noise generator Optional sampling through the WS channel",D-pad Four face buttons Two shoulder buttons,50 × 101 × 17.2 mm (2 × 4 × 0.7 inches),80 g (2.8 oz),,,"5 hours with top brightness and sound, 8 hours with both features on default","Worldwide: 81.51 million (as of September 30, 2010) Japan: 16.96 million Americas: 41.64 million Other: 22.91 million",6
N-Gage,N-Gage,Unnamed: 8_level_2,Nokia,,"October 7, 2003",US$299.99 (equivalent to $530 in 2025),€289.99 (equivalent to €440 in 2023),£229.99 (equivalent to £460 in 2023),,,2006,MultiMediaCard (MMC),Unrestricted,—N/a,?,,Symbian S60,"104 MHz, 32-bit, RISC based on ARM9 series","16 megabyte RAM, 16 megabyte ROM (3.4 MB accessible for storage)",,176 × 208,"Stereo audio (using headphones), with: Support for Standard MIDI, SP MIDI and AMR audio","D-pad Numbered keypad Music player, Radio and Menu hotkeys Dial and hang up buttons Four other face buttons Microphone",70 mm (2.8 in) (h) 134 mm (5.3 in) (w) 20 mm (0.79 in) (d):,137 g (4.8 oz),N-Gage Arena,"3.4 MB internal storage, MMC",2 hours continuous play,"Worldwide: 3 million (as of July 30, 2007)",6
N-Gage,N-Gage QD,Unnamed: 9_level_2,Nokia,,"May 26, 2004",US$179.99 (equivalent to $310 in 2025),€229.99 (equivalent to €350 in 2023),,,,2006,MultiMediaCard (MMC),Unrestricted,—N/a,?,,Symbian S60,"104 MHz, 32-bit, RISC based on ARM9 series","16 megabyte RAM, 16 megabyte ROM (3.4 MB accessible for storage)",,176 × 208,"Stereo audio (using headphones), with: Support for Standard MIDI, SP MIDI and AMR audio","D-pad Numbered keypad Music player, Radio and Menu hotkeys Dial and hang up buttons Four other face buttons Microphone",118 mm (4.6 in) (w) 68 mm (2.7 in) (h) 22 mm (0.87 in) (d),143 g (5.0 oz),N-Gage Arena,"3.4 MB internal storage, MMC",4 hours continuous play,"Worldwide: 3 million (as of July 30, 2007)",6
