,Platform,Type,Firm,Released,Units sold,Generation
0,Nintendo DS,Handheld,Nintendo,2004,53.8 million,4
1,Nintendo Switch #,Hybrid,Nintendo,2017,46.6 million[41],4
2,PlayStation 2,Home,Sony,2000,46.5 million[42],4
3,Xbox 360,Home,Microsoft,2005,42.7 million[42],4
4,Wii,Home,Nintendo,2006,41.7 million[42],4
5,Game Boy & Game Boy Color,Handheld,Nintendo,"1989, 1998",38.2 million,4
6,Game Boy Advance,Handheld,Nintendo,2001,36.3 million,4
7,Nintendo Entertainment System,Home,Nintendo,1985,<34 million[7],4
8,PlayStation,Home,Sony,1995,30.4 million,4
9,PlayStation 4,Home,Sony,2013,30 million[43],4
10,PlayStation 5 #,Home,Sony,2020,26.7 million[44],4
11,PlayStation 3,Home,Sony,2006,26.7 million[42],4
12,Nintendo 3DS,Handheld,Nintendo,2011,21 million[45],4
13,PlayStation Portable,Handheld,Sony,2005,20.2 million,4
14,Super Nintendo Entertainment System,Home,Nintendo,1991,20.0 million[46],4
15,Genesis,Home,Sega,1989,18.5 million,4
16,Nintendo 64,Home,Nintendo,1996,18.0 million,4
17,Xbox Series X/S #,Home,Microsoft,2020,>14.5 million[42],4
18,Xbox,Home,Microsoft,2001,14.5 million,4
19,Nintendo GameCube,Home,Nintendo,2001,11.8 million,4
20,Atari 2600,Home,Atari,1977,10 million[47],4
21,Wii U,Home,Nintendo,2012,5.3 million[48],4
22,Dreamcast,Home,Sega,1999,4.1 million,4
23,PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft,1989,2.5 million[49],4
24,Nintendo Switch 2 #,Hybrid,Nintendo,2025,2.4 million[50],4
25,PlayStation Vita,Handheld,Sony,2012,1.9 million,4
26,Master System,Home,Sega,1986,2 million[51],4
27,Atari 7800,Home,Atari,1986,2 million[52],4
28,Sega CD,Home,Sega,1992,1.5 million[17],4
29,Sega Saturn,Home,Sega,1995,1.4 million,4
